date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2019-06-26,89908347,3368073,26557695,42728,1602,12633,158397739,5710518,16782346,75435,2718,8053,98314485,812589,23090552,46728,387,10981,65360468,69718304,29461407,31152,33184,14092
2019-06-27,107421330,1556559,32587372,50693,733,15385,169813868,5769327,19001398,79988,2716,9018,104635854,40387,26911158,49364,19,12700,72927533,68967216,26150850,34376,32468,12381
2019-06-28,86196978,234903,22831610,40705,111,10791,164279803,5857543,21974485,77704,2769,10461,82994287,3058101,23240236,39192,1447,10987,64589929,71619818,29725942,30579,33857,14124
2019-07-01,89289302,5516724,29136687,41609,2563,13585,173724511,6496204,21393709,80727,3017,10016,89977797,107765,30325989,41934,50,14130,72952302,68023894,30459605,33927,31592,14218
2019-07-02,65104600,2966748,19417329,30277,1380,9040,164824311,7395312,22587787,76715,3440,10593,69695289,137585,20385878,32414,64,9494,68805195,65996710,32610640,32052,30699,15249
2019-07-03,95413544,6929196,39879214,44686,3254,18697,152948172,7616828,19020339,71914,3579,9023,100135312,131456,40940708,46907,62,19217,62621435,58836217,30033767,29472,27646,14198
2019-07-04,68313313,3174090,19314063,31939,1482,9037,151876716,7803262,19264859,70971,3644,9084,67458075,0,18609561,31534,0,8704,60123722,56166781,29638636,28124,26229,13926
2019-07-05,63628679,325823,15253125,29710,152,7127,149602052,8137106,19137238,69837,3796,9017,65262018,104874,16159866,30475,49,7552,59391334,56329521,30432147,27754,26278,14284
2019-07-08,101110369,1239506,29409479,47372,581,13794,145964420,8256843,20042018,68481,3871,9490,103322666,31995,28210015,48417,15,13230,58433928,55003671,30078304,27446,25787,14193
2019-07-09,69829108,2102,18564009,32778,1,8720,146625656,8247333,21398828,68895,3872,10145,73711780,0,19867668,34596,0,9334,63080047,54926310,32724034,29670,25787,15461
2019-07-10,91949886,1157091,37853765,42940,539,17709,154657724,8431032,19555003,72111,3928,9226,84391639,42924,37863880,39413,20,17699,62891470,54355434,30981074,29359,25324,14532
2019-07-11,102854810,154960,30801015,47661,72,14286,160052654,8388163,21497062,74099,3879,10058,99666312,1249959,30561974,46174,578,14175,64394931,55753991,32763774,29858,25781,15252
2019-07-12,97165930,8047939,33021349,45069,3730,15291,164912379,8545060,23995549,76445,3961,11185,101339098,7811078,30172082,46918,3648,14029,73421868,55665078,32013819,34038,25781,14934
2019-07-15,177702141,35771183,47732263,82548,16534,22127,158083557,8684650,26152281,73279,4034,12130,180720825,35288886,45853766,83737,16470,21277,69315920,55492020,32308890,32076,25790,15031
2019-07-16,147790418,21801669,45638880,68274,10047,21088,152418313,8661523,23462377,70778,4037,10886,159452695,17741389,44431311,73590,8246,20505,75234251,51472437,29067162,34917,23992,13508
2019-07-17,114539789,83211,43376666,53305,39,20098,115462060,8625852,12552735,54137,4044,5897,114153447,98689,51417559,53051,46,23849,45755193,51204798,24907898,21456,24006,11690
2019-07-18,79281906,31992,14188770,37191,15,6657,126173056,7587772,12554632,59237,3562,5907,66396173,1485017,16041594,31145,697,7527,43748848,51563621,26726721,20543,24206,12560
2019-07-19,101073993,240673,29493293,47037,112,13727,130837659,7857384,12503474,60918,3658,5835,95919826,4580299,29903266,44633,2133,13911,42520135,56541804,26711061,19801,26323,12449
2019-07-22,83159506,19430,24466087,38613,9,11358,140156580,7858760,16033088,64924,3640,7442,73918339,1988141,21119725,34325,921,9803,42131227,58761503,26786763,19520,27217,12421
2019-07-23,72463555,36734,20969847,33513,17,9699,133679635,7827854,16669268,61878,3623,7731,74560554,73455,20733625,34482,34,9591,37677392,58805050,27197193,17444,27217,12602
2019-07-24,68416782,620205,20604481,31633,287,9530,130941737,8427120,13728612,60605,3900,6369,69022093,21608,21530518,31913,10,9957,35535751,58810494,25141010,16451,27217,11649
2019-07-25,68649236,34623,19539606,31756,16,9039,129648607,8001787,16764780,59907,3697,7762,70876742,463191,14137809,32786,214,6543,36312729,58897653,22794374,16783,27212,10546
2019-07-26,62528224,75523,12794103,28983,35,5932,125091930,7571018,18351212,57984,3509,8522,68054409,491891,13571700,31545,228,6294,37598852,58723399,24986152,17432,27217,11596
2019-07-29,77730266,2153,17619138,36071,1,8180,129188975,7547400,19280227,59916,3500,8958,77798960,21562,17747003,36108,10,8237,41832918,58690739,26034556,19405,27217,12089
2019-07-30,76016240,21626,20897457,35238,10,9690,126893381,7543603,15535737,59016,3508,7241,84718381,19355,24871816,39270,9,11536,48451004,58542490,26186397,22537,27224,12194
2019-07-31,103642925,98745,36204241,48362,46,16893,127548255,7605382,13004168,59409,3542,6074,101651336,51461,33484397,47434,24,15626,47230171,58481139,20918526,22002,27236,9760
2019-08-01,120578747,638742,26567174,56549,300,12460,122891264,7476346,14293024,57735,3512,6731,130928843,166015,24835192,61397,78,11651,53573672,57443389,20324812,25172,26984,9566
2019-08-02,179126585,8379,41766531,85042,4,19845,126607527,7290612,15453434,60475,3482,7396,186231768,990885,40083266,88426,473,19045,65515466,57418133,19725992,31296,27423,9442
2019-08-05,170306777,4023681,37851951,81782,1938,18185,129984685,7267350,17909450,62645,3502,8649,167861619,153896,41210859,80609,74,19803,69487151,53081385,25019015,33491,25579,12082
2019-08-06,222384154,712659,59466353,108369,345,28977,123716761,7224103,18987582,59897,3497,9215,222931481,45291,56617001,108559,22,27579,63843721,52163516,23213541,30913,25251,11268
2019-08-07,142981431,1086708,37275434,69194,525,18039,129713028,7215300,18397475,62697,3487,8916,134624212,165396,37160932,65146,80,17987,61316407,51307883,22521218,29641,24796,10917
2019-08-08,175643879,373360,38896243,84616,179,18735,131403277,7549402,19020372,62967,3617,9144,172915247,0,38132805,83308,0,18362,59681440,51651938,22410485,28604,24747,10772
2019-08-12,92720005,200470,23827589,44393,96,11415,131837405,7731123,19452406,63157,3703,9351,93610364,20878,24292684,44825,10,11635,60994946,51666787,23257323,29226,24747,11176
2019-08-13,116822885,225584,28210103,56312,109,13607,131367840,7651744,18169217,63516,3699,8818,112358824,368273,33023250,54160,178,15928,56767674,51326103,26684239,27454,24812,12938
2019-08-14,150184332,85426,45776954,71973,41,21932,133432303,7677755,17373338,63983,3681,8365,147294786,2998863,46603374,70593,1438,22333,55335046,54629188,26704891,26541,26191,12839
2019-08-15,162683655,172992,34898391,78894,84,16930,143009527,7658722,16519798,69441,3718,8053,158861913,2318290,39052963,77025,1125,18947,62073111,56175976,29878476,30149,27270,14544
2019-08-16,218474240,13752233,49592013,105813,6623,23984,141031313,7821082,12753322,67784,3759,6156,217354986,12067545,47759175,105259,5829,23105,60623462,55182749,24630194,29142,26517,11877
2019-08-19,178021174,33648667,36191467,85239,16064,17334,143891235,7934927,14100885,68786,3793,6761,178139350,33400744,34791333,85239,15996,16661,63079560,55362736,25015074,30144,26483,11986
2019-08-20,153571968,16538792,36834449,73159,7873,17552,150794918,7960581,13849691,71840,3796,6618,147015286,15969512,42032604,70018,7620,20018,63087859,55013897,30214161,30057,26233,14407
2019-08-21,118674688,949190,37945474,56535,451,18051,130622913,7957714,11463523,62266,3793,5485,111004505,1526839,41911961,52850,728,19940,42037595,55611686,22315816,20044,26507,10659
2019-08-22,94147660,2602760,26059261,44782,1242,12398,127201110,8035092,12719242,60716,3835,6092,103186323,85945,24348430,49071,41,11585,47720643,53109130,21739623,22783,25348,10399
2019-08-23,88425797,344281,15730277,42194,164,7505,130907161,8393401,13156089,62360,3998,6289,83771104,96488,16117804,39973,46,7691,46604564,53310064,22538384,22206,25393,10759
2019-08-26,171411722,663986,34296507,82628,322,16556,129164078,8212618,12402064,62664,3984,6037,176703947,714037,38028800,85157,346,18368,51604037,52365744,25342226,25040,25403,12319
2019-08-27,101868407,87056,22579818,49137,42,10892,128774801,8300763,13245643,62138,4005,6413,94065444,33189,22357430,45374,16,10787,42993504,52639895,26039094,20751,25398,12590
2019-08-28,97402232,676795,27019433,46817,325,12987,130141497,8312941,11645636,62503,3992,5617,98457789,41641,26395008,47325,20,12685,45024982,52226592,23848785,21630,25080,11480
2019-08-29,94808076,2086,15872009,45575,1,7630,137139578,8321054,11500735,65750,3989,5538,86201222,6259,16975233,41440,3,8159,43249434,52314794,24833837,20742,25079,11932
2019-08-30,93897619,1933583,23082064,44573,914,10960,144827873,8506023,14321869,68471,4021,6799,90361283,0,23642160,42897,0,11217,43952984,51186334,27752170,20787,24197,13146
2019-09-02,65735064,262786,17015136,31035,124,8035,146320163,8556621,14981886,69007,4035,7095,61394690,1696676,15563377,28984,800,7349,40848099,52775372,26993661,19272,24887,12757
2019-09-03,77662896,0,23039359,36672,0,10880,143097371,8497658,16531480,67871,4030,7870,84133483,447023,23836508,39722,212,11263,44655459,52913208,29294443,21187,25094,13922
2019-09-04,92986224,941188,28690440,43884,442,13521,153874768,8579064,18198690,72290,4030,8582,83682049,44646,30805977,39481,21,14523,45117324,52523882,33183157,21203,24673,15617
2019-09-05,91661664,83737,25694517,42733,39,11984,150114449,7840114,19044213,69932,3652,8908,94008846,1689471,21631075,43826,787,10088,42785493,53762312,30042306,19938,25043,14026
2019-09-06,75717581,607350,19008560,35164,282,8830,153945936,7864217,19550540,71497,3652,9117,71409876,8614,17890578,33161,4,8311,40352733,53328951,29325666,18747,24765,13651
2019-09-09,72836361,6476,17850024,33746,3,8270,157158019,7805498,20047045,72814,3616,9324,69744357,1590912,17875642,32311,737,8282,40196212,54964432,29992279,18629,25463,13927
2019-09-10,65140691,0,21579859,30266,0,10031,152425138,7757872,20603800,70957,3611,9625,70044687,2174146,21205608,32545,1012,9857,40911782,56868148,30261869,19050,26470,14118
2019-09-11,97076779,25855,34746386,45073,12,16133,150614739,7770146,21629428,69912,3606,10074,98959054,122621,30682072,45945,57,14246,40612367,57123540,27341187,18859,26510,12721
2019-09-12,115581374,5636078,41066073,53412,2603,18977,178922163,7793175,23594809,82689,3600,10938,115975383,10845602,38136612,53583,5016,17624,68795803,62586822,26452943,31806,28917,12255
2019-09-16,186349766,36049043,39075696,85955,16582,18023,218162434,7770711,23255608,100413,3577,10738,167552481,38982579,40121389,77229,17975,18503,88639122,65760216,27326890,40804,30287,12602
2019-09-17,144780259,28200128,37452259,66647,12976,17222,216952265,7891097,31318636,99984,3639,14451,155863925,28152913,36494016,71687,12978,16804,98569522,65815013,35800887,45415,30351,16525
2019-09-18,107160929,1421955,40382918,49170,652,18518,153322938,8277261,14239998,70374,3799,6559,99124011,1328165,45257571,45472,610,20744,40114068,66385857,26942662,18413,30469,12387
2019-09-19,81169524,2278312,19294147,37273,1048,8862,151737181,8261093,15257169,69819,3801,7043,90535593,1567233,17144971,41583,721,7876,48106206,65514970,25971349,22136,30144,11972
2019-09-20,72373654,10900,13112831,33212,5,6018,157883685,8285420,15519696,72434,3801,7144,65572131,0,12440315,30091,0,5710,47144306,65696992,25575077,21630,30139,11756
2019-09-23,74853061,0,19121760,34352,0,8776,155612103,8253958,15946706,71438,3789,7346,76945773,1561730,17348867,35317,717,7962,47045113,67190570,23722289,21599,30844,10914
2019-09-24,84591323,0,25917337,38824,0,11900,159179796,8257266,19043113,72989,3786,8761,83472231,1770668,27079391,38319,812,12428,49389121,69035193,26840315,22652,31653,12331
2019-09-25,96836265,0,26793760,44637,0,12355,157604529,7295993,18438986,72693,3365,8534,101204701,1739160,28325718,46651,802,13062,52827554,69456119,27415227,24372,32034,12670
2019-09-26,96077088,19547,20066353,44269,9,9242,158677277,6779044,19229615,73175,3126,8899,92776041,526943,18391135,42742,243,8476,50570347,69458089,26556740,23327,32029,12274
2019-09-27,104114346,1963802,20457119,47975,907,9428,161934601,6764375,20134996,74815,3125,9334,98215649,305381,21020852,45267,141,9686,48130931,67669725,27965936,22244,31262,12947
2019-10-01,109288183,1518417,33212805,50162,693,15233,173769862,6928868,24171989,79330,3163,11070,99175832,13144,35989055,45531,6,16504,48498511,67060838,34600606,22148,30613,15822
2019-10-02,80474374,3393160,20169091,36805,1553,9226,170168386,6883675,22848963,77899,3151,10494,87071260,67771,19596458,39822,31,8964,51822434,63525983,32675247,23730,29079,14984
2019-10-03,111322394,3116532,25844699,51336,1436,11925,170595317,6841379,22116230,78627,3153,10227,110755061,168982,27177025,51068,78,12538,52448057,60153365,33151631,24180,27723,15306
2019-10-04,121203335,30489,27822732,55769,14,12802,170958479,6856861,25210912,78592,3152,11626,119722270,1524824,25267824,55088,701,11628,51026267,61800939,33725553,23466,28409,15531
2019-10-07,76824189,76408,26691395,35235,35,12240,168709779,6923842,28622618,77296,3172,13155,79568760,2184,23474223,36496,1,10764,51119330,61980606,33946353,23431,28395,15582
2019-10-08,100971010,895310,34508442,45968,407,15709,186766310,6894800,28080489,84907,3134,12806,88032657,780954,39996812,40068,355,18204,55285852,62271000,38829500,25142,28305,17682
2019-10-09,118078144,8023317,41347514,53964,3672,18901,173684623,6743064,22589296,79820,3098,10416,133582613,10790464,38042894,61034,4949,17400,59271538,64296626,30152128,27245,29546,13888
2019-10-14,205945319,37194447,48461941,93274,16795,21966,197789729,6932246,22599527,89378,3133,10241,194122799,36451368,51669286,87886,16485,23415,69472893,64761126,33586505,31397,29271,15202
2019-10-15,179505759,26889955,54454326,80937,12107,24543,203960086,6951673,25074897,91949,3135,11328,180564265,27764225,51131345,81380,12523,23047,76325591,65830635,33805290,34412,29688,15259
2019-10-16,123107742,354346,43815040,55293,159,19670,173148636,6965780,21363884,77781,3129,9622,117746338,298278,48268939,52867,134,21669,50536303,66022413,26466166,22702,29657,11913
2019-10-17,66313083,461980,13000615,29758,207,5834,178784095,6884486,21721419,80118,3085,9760,60362712,718374,11551032,27088,322,5185,49909359,66341005,25380624,22366,29728,11399
2019-10-18,106477460,13380,29371751,47635,6,13142,173312586,6892312,23520791,77729,3091,10575,114406914,0,30505845,51184,0,13650,52455423,66287494,28256775,23526,29728,12700
2019-10-21,63361389,1785378,14913222,28410,800,6687,169507270,6843704,23700638,75968,3067,10649,68727815,283408,12588900,30817,127,5645,53934223,64779773,26071409,24172,29031,11712
2019-10-22,76604979,121398,27237431,34157,54,12143,171237578,6031384,26222538,76177,2683,11694,72863483,923851,24287799,32493,411,10827,51064320,65200992,25649787,22717,29004,11439
2019-10-23,74715486,4482,25742262,33285,2,11474,170599087,5976320,24482262,76164,2668,10958,74699710,1082292,27094687,33275,483,12080,50828739,66012800,25163980,22693,29470,11262
2019-10-24,70315755,530250,19472039,31283,235,8663,177045790,6043595,25116178,78426,2677,11156,63740534,9030,17300947,28354,4,7695,47012856,66030285,23567826,20826,29248,10467
2019-10-25,65381174,162441,17173670,28950,72,7606,174065859,6047688,24154847,77140,2680,10734,70579156,2257,17134191,31249,1,7591,49278252,65847588,22567090,21839,29180,10029
2019-10-28,57561336,726219,11731536,25445,321,5188,175445459,5951848,23869996,77559,2631,10582,51669901,124431,13563096,22841,55,5997,44457288,65298403,24109391,19654,28865,10686
2019-10-29,75105552,18122,19029616,33130,8,8396,175868688,5945625,23605871,77651,2625,10453,75399813,31726,22096350,33261,14,9750,45011304,65379225,26914548,19876,28865,11911
2019-10-30,65353856,11340,17933945,28865,5,7922,176880219,5952450,24264494,78008,2625,10732,63727861,0,17137114,28147,0,7570,44244625,65442936,26718969,19515,28860,11811
2019-10-31,81670810,521826,19595154,35947,230,8627,178677636,6007782,25248229,78759,2648,11161,80634868,149736,17940346,35490,66,7898,44934133,65157667,25664748,19809,28719,11340
2019-11-01,73054384,552632,15271443,32224,243,6734,179421341,5997065,26582790,78899,2637,11722,72537290,405525,14258677,31992,179,6291,44831615,65142185,25866162,19717,28644,11403
2019-11-04,100709083,2629818,30780615,43902,1140,13416,193457101,6073400,27958081,83811,2631,12149,94502796,20776,34259544,41168,9,14927,50531964,63497159,30717022,21895,27507,13339
2019-11-05,98407604,4044961,30199296,42419,1737,13022,189191838,6132257,29814061,81238,2633,12838,109358582,18635,29333501,47131,8,12648,55965713,60041620,31803889,24034,25780,13688
2019-11-06,100685738,2134358,31726370,43252,916,13628,184876919,5906550,28323455,79351,2535,12191,104215931,239979,30794315,44762,103,13232,55113689,57944770,29425676,23657,24869,12661
2019-11-07,90848631,1623929,21012867,39140,700,9057,178015747,5023387,26647838,76762,2166,11524,96573829,909314,23029741,41607,392,9929,54575504,56106086,29791618,23535,24192,12878
2019-11-08,107671023,141333,23309279,46386,61,10044,174057586,4237666,28072941,75211,1831,12163,110278089,776871,21428297,47507,335,9236,53467650,55848786,29361301,23105,24131,12720
2019-11-11,116705332,59690,30284892,50756,26,13180,177053326,4137907,27292499,77409,1809,11963,116372193,1560432,36622978,50599,682,15939,57512425,56647461,34601285,25146,24765,15159
2019-11-12,85862288,3750162,25877303,37393,1627,11266,176919787,4167078,29863441,76769,1808,12992,90712449,13807,20683325,39494,6,9006,61314997,53339986,31963155,26608,23143,13901
2019-11-13,104766718,0,28904245,45683,0,12607,173769876,4143812,27350436,75784,1807,11962,105290859,41276,28709508,45916,18,12523,59279303,53110512,29276238,25856,23160,12800
2019-11-14,122213199,2048401,29688329,53337,894,12961,178099029,4140198,25838855,77743,1807,11311,125541999,0,30446693,54789,0,13293,67039286,51015859,28454139,29267,22266,12453
2019-11-15,131231037,10266090,33826426,56966,4452,14678,179884805,4209146,26286237,78015,1825,11429,138530889,9239834,31472952,60118,4012,13663,75378010,50369802,27688410,32691,21844,12040
2019-11-18,183145852,29089897,39203951,79261,12579,16968,183558689,3782750,30628833,79201,1632,13238,182086731,29481083,37875544,78787,12756,16395,77421402,50583722,29256912,33403,21828,12651
2019-11-19,155022224,15756604,41400565,66699,6771,17821,186219791,3832239,32485767,79979,1646,13974,157747698,14956510,39678646,67867,6430,17076,82301331,50058727,29265605,35345,21501,12596
2019-11-20,116029499,366811,49719327,49945,158,21403,140562496,3823030,24143638,60595,1648,10430,124245742,368932,44148298,53477,159,19003,45529620,49884979,19987092,19627,21504,8643
2019-11-21,148346054,695120,28161282,64412,301,12234,145336219,3652838,24259774,62946,1582,10529,144200534,216825,31354200,62618,94,13621,46606123,49022379,23272129,20185,21231,10108
2019-11-22,89521910,46228,15700039,38742,20,6799,143251901,3685726,24640007,61995,1595,10687,93252492,4621,16972585,40357,2,7349,48158365,49049041,24854335,20841,21226,10786
2019-11-25,85983755,1672847,19017232,37109,723,8207,142659740,3724252,24734848,61675,1610,10717,85340270,9253,20352687,36831,4,8785,46825088,47471490,26170849,20243,20522,11344
2019-11-26,107689111,555154,26772231,46323,239,11519,151612494,3603904,24946112,65253,1551,10762,100103002,155603,29242661,43063,67,12582,45445171,47148168,29009411,19559,20291,12516
2019-11-27,71214740,9319,20589264,30638,4,8856,154143300,3622217,24603196,66177,1555,10587,67749826,0,17192608,29146,0,7396,44209968,47265855,25337900,18980,20291,10907
2019-11-28,82750093,0,18986749,35559,0,8160,146190765,3579127,24646785,62947,1541,10628,95517832,497060,17164299,41043,214,7379,49316161,47592397,23624005,21234,20491,10193
2019-11-29,107196494,64204,30471213,46481,28,13219,142000839,3544669,24990093,61938,1546,10913,120765688,1532495,33163091,52349,668,14381,59828533,48460621,26769475,26095,21136,11697
2019-12-02,107937286,18402,24890231,46958,8,10832,149157848,3561019,24934653,64845,1548,10854,92428366,473975,26852206,40213,206,11684,52808113,49081334,28703856,22957,21336,12499
2019-12-03,116508529,9218,27705401,50701,4,12055,156864547,3558302,24114490,68071,1544,10480,105610782,9218,28666200,45945,4,12475,49378390,49161727,29210485,21427,21332,12697
2019-12-04,141139154,0,33626581,61469,0,14647,152907975,3549517,22700144,66475,1543,9885,145012617,201963,33339174,63161,88,14521,49509017,49272268,27490236,21523,21419,11973
2019-12-05,111024844,846456,28235195,47958,365,12201,164167421,3630174,23980781,70779,1565,10359,102258257,0,28715810,44170,0,12399,51119088,48887890,29266607,22039,21076,12640
2019-12-06,95512698,25544,19640785,41079,11,8451,164523149,3634243,24487199,70853,1565,10566,92453930,0,20948569,39765,0,9014,48296941,48917143,31084047,20799,21065,13408
2019-12-09,85829497,786702,21626354,36794,337,9276,171487580,3674031,25354316,73475,1574,10884,84637085,25676,21696911,36281,11,9302,50663275,48429982,32033522,21708,20748,13745
2019-12-10,67209548,25576,23582691,28877,11,10136,158476220,3666210,25878318,68175,1577,11153,86896552,516131,17145050,37343,222,7366,57887848,48732458,26104235,24905,20962,11249
2019-12-11,120022240,542908,35062902,51584,232,15071,165846548,3658670,27946782,70860,1563,11966,105897169,62910,35021991,45507,27,15053,50306549,48555214,28240762,21499,20743,12086
2019-12-12,154143737,1603899,39223378,65225,677,16606,169588959,3837349,27869984,71563,1619,11783,149234866,1542802,40660197,63124,650,17211,47622567,49233794,29521982,20101,20772,12477
2019-12-13,190730876,6567184,45928107,79890,2746,19238,190512961,3973867,30164930,79657,1661,12632,196904928,8193334,43188417,82456,3433,18094,73537945,51428333,28935981,30754,21501,12116
2019-12-16,215903048,32858424,38888028,90350,13732,16279,212626431,4014584,32611020,88942,1679,13652,214140850,36834058,34085003,89591,15413,14270,93898300,55441904,27675282,39274,23200,11591
2019-12-17,184019106,13356076,50905704,76561,5545,21163,205188557,4087288,41005683,84836,1690,16962,195147043,15904420,46131567,81180,6603,19173,96254124,58687550,29913659,39792,24269,12381
2019-12-18,102468753,1222697,51409028,42410,506,21276,150936847,4127155,21231701,62392,1706,8789,109058706,2010010,43281861,45132,831,17903,44711919,59524416,16957462,18484,24605,7022
2019-12-19,88250681,43357,19754665,36600,18,8196,150888149,4145883,22283086,62709,1723,9273,91708693,1477597,19969660,38021,614,8288,48653951,60679552,18262407,20222,25218,7604
2019-12-20,123053233,383363,25156248,51223,160,10475,148359813,4408272,20624117,61926,1840,8621,126631204,105460,27856018,52712,44,11601,50121653,60419680,19229439,20923,25219,8042
2019-12-23,79773421,0,16332126,33242,0,6806,149073961,4406532,19739501,62012,1833,8225,80576712,21635,16396971,33577,9,6834,51304903,60631284,18263223,21344,25221,7614
2019-12-24,50486307,125066,12795557,21012,52,5327,142221511,4126945,21008184,59344,1722,8778,59081204,390656,12736079,24587,163,5304,53321419,60444649,19479142,22251,25221,8144
2019-12-25,32011597,14423,15749909,13343,6,6563,142970593,4045595,21763671,59478,1683,9065,31795731,98410,12470930,13252,41,5198,53584903,60616625,17038517,22294,25217,7103
2019-12-26,38252170,0,10744692,15924,0,4473,142866183,4029549,23383547,59494,1678,9749,43839962,1217331,8757160,18249,507,3647,59152911,61761607,16664574,24635,25719,6955
2019-12-27,74847789,79842,16674295,30986,33,6906,152283863,4091205,22595198,62944,1691,9353,66211956,0,19045795,27405,0,7888,59272126,62176161,18277867,24501,25699,7571
2019-12-30,63854425,38719,15245423,26402,16,6304,150712484,4072081,22812008,62439,1687,9464,64561454,499643,16735242,26692,207,6923,58604075,62483627,19997028,24281,25886,8301
2019-12-31,69874345,0,18560859,29046,0,7720,149377640,3974812,23852947,62273,1657,9957,72874887,1070106,20216595,30294,446,8410,60835433,63093238,22710481,25363,26302,9485
2020-01-02,95425359,3986158,35224864,39566,1647,14600,147609850,4041734,25378624,60992,1670,10502,98941313,0,31045880,41019,0,12866,61794190,59701494,20572664,25535,24668,8518
2020-01-03,175204591,97045,58633428,72436,40,24255,147233626,3957284,26137445,60907,1637,10829,177245969,144955,56074200,73270,60,23197,63533909,59600997,18819428,26284,24655,7804
2020-01-06,133244260,47933,30146441,55498,20,12567,141413586,3857137,24864273,59175,1614,10421,139121985,600109,35614686,57945,251,14843,64517301,59417597,23066327,26999,24863,9672
2020-01-07,162288320,1224029,52669702,68172,515,22136,132966631,3793972,24765906,56006,1598,10449,169272453,816901,53059802,71097,344,22295,63488351,58585759,23465012,26743,24676,9905
2020-01-08,193837117,0,53334717,81956,0,22565,143201510,3750942,21445966,60742,1591,9119,179082999,766802,56913947,75697,325,24083,59392760,58925854,23621940,25196,24994,10043
2020-01-09,152036656,1965605,41875751,63751,822,17554,152528140,3851026,26663361,63723,1609,11162,147603407,716812,39611818,61886,300,16602,62933391,58624045,26725183,26297,24490,11188
2020-01-10,168369960,7332980,34767671,70201,3056,14496,168707749,3929322,27128517,70250,1636,11319,163761107,12059985,33492866,68274,5031,13968,74161531,63624928,25884644,30888,26492,10801
2020-01-13,231083554,31153350,47576971,95662,12874,19695,187577593,3967397,25367804,77470,1639,10497,223829109,32374216,47822210,92634,13398,19800,84926932,65401949,24366028,35077,27019,10083
2020-01-14,172522004,24272252,49834493,70941,9974,20488,178877546,4021009,23416758,73536,1654,9642,178676662,23544267,51080116,73447,9694,21001,81884406,65038974,25430800,33657,26754,10470
2020-01-15,157009103,2858391,62314707,64790,1185,25727,142112272,3956123,18768695,58949,1641,7801,161688403,130671,62251222,66716,54,25698,53512476,61740588,18114383,22200,25610,7534
2020-01-16,109714170,1997786,23315152,45534,829,9680,135867659,3994033,19409073,56368,1657,8067,122489716,50428,20780617,50834,21,8631,60057799,59821307,16123443,24919,24818,6710
2020-01-17,111753068,2414,24872587,46280,1,10299,135304219,4002744,19710349,56046,1658,8180,109498665,0,25265459,45344,0,10466,57121769,59915616,16707640,23664,24818,6943
2020-01-20,76980100,1300647,21131045,31751,537,8718,137411845,3989363,21660218,56731,1647,8959,78426263,46022,18909762,32343,19,7799,60406840,58832816,16409960,24942,24289,6797
2020-01-30,247822260,296911,77386503,107119,129,33404,123720022,3861931,22930836,54398,1698,10099,275241960,6065127,81449626,118870,2658,35157,82231749,61110854,21901539,36159,26869,9658
2020-01-31,234977852,2397265,43853128,102551,1044,19156,135883450,3867347,21390516,59241,1686,9347,208518913,101203,43930707,91019,44,19189,67565477,59310787,20298573,29462,25857,8879
2020-02-03,279176704,1744925,59251837,123579,773,26235,134380385,4171762,27196961,59336,1842,12031,275430360,1273719,57793243,121910,562,25592,61108879,58436210,24535854,26988,25802,10866
2020-02-04,178324032,5736515,47485342,77866,2486,20721,134392833,4327557,26394376,58261,1876,11464,174672680,20725,44240245,76292,9,19295,56159823,53877469,20314207,24351,23356,8838
2020-02-05,180213773,196922,52715420,77944,85,22803,136676315,4205905,23777707,59210,1822,10325,178439900,893102,56695155,77172,387,24528,56610762,54501324,21469936,24530,23610,9335
2020-02-06,168209809,2027828,38698940,72139,864,16587,141298223,4326995,26103804,60185,1843,11144,163519602,714474,34550500,70106,306,14810,54391237,54170789,19542583,23173,23073,8355
2020-02-07,155447246,484454,28389515,66790,209,12206,131862489,4176676,25244996,56893,1802,10917,157675733,304209,31844322,67740,131,13692,48267689,53202781,22276318,20831,22954,9645
2020-02-10,186652030,1674947,41965163,81002,724,18213,133377425,4137957,26225511,57666,1789,11366,187016748,99178,41741502,81152,43,18120,50310137,51487380,23191997,21758,22260,10063
2020-02-11,109001469,1522210,31708162,46876,653,13631,131532664,4150051,27603746,56386,1779,11865,111328158,51319,32790020,47887,22,14091,50125747,50432803,25020344,21497,21619,10761
2020-02-12,115649397,1103727,42032206,49330,469,17924,143456122,4234846,30557437,60944,1799,13018,105567050,23540,39680586,45030,10,16917,51216541,49857720,24995782,21770,21180,10653
2020-02-13,140474472,75564,30573633,59521,32,12959,146201714,4307295,29354636,62089,1829,12498,135418623,153422,34175218,57369,65,14489,48225176,50027265,27391225,20491,21243,11667
2020-02-14,150746093,4770102,36011047,63922,2017,15270,148022810,4315324,29935836,62689,1827,12708,158412605,4756593,35760079,67163,2015,15167,57442565,50158118,27764203,24338,21239,11793
