date,long_deal_amount_外資,long_deal_amount_投信,long_deal_amount_自營商,long_deal_volume_外資,long_deal_volume_投信,long_deal_volume_自營商,long_open_interest_balance_amount_外資,long_open_interest_balance_amount_投信,long_open_interest_balance_amount_自營商,long_open_interest_balance_volume_外資,long_open_interest_balance_volume_投信,long_open_interest_balance_volume_自營商,short_deal_amount_外資,short_deal_amount_投信,short_deal_amount_自營商,short_deal_volume_外資,short_deal_volume_投信,short_deal_volume_自營商,short_open_interest_balance_amount_外資,short_open_interest_balance_amount_投信,short_open_interest_balance_amount_自營商,short_open_interest_balance_volume_外資,short_open_interest_balance_volume_投信,short_open_interest_balance_volume_自營商
2018-06-20,175724156,1735774,70737769,81585,806,32720,139333973,2929489,11737308,64890,1364,5556,170745887,1123135,84543612,79172,524,39116,63785115,59352981,24116854,29722,27635,11316
2018-06-21,101388023,539659,31704990,47306,252,14808,136653683,2976438,13487211,63832,1390,6389,109729021,55631,30040122,51197,26,14033,69660777,58747869,24156039,32555,27435,11368
2018-06-22,131302103,1123835,32581112,61710,527,15332,136459880,4038138,12504506,64051,1895,5959,134375280,149137,37351468,63161,70,17578,72877316,58564849,27836182,34225,27483,13156
2018-06-25,102288666,169552,31849477,48106,80,14994,133807724,4051448,13344740,63228,1914,6395,103987755,201361,27574649,48907,95,12989,72351003,58246562,24340057,34210,27517,11597
2018-06-26,154999814,176720,45720800,73503,84,21693,132059084,4024853,14356481,62355,1900,6868,158341871,227550,45335872,75087,108,21519,73950863,58312481,24947190,34939,27527,11880
2018-06-27,114320574,116321,37609264,54011,55,17781,131461987,3985839,14851608,62285,1888,7115,112110714,755699,35109947,52961,358,16608,71344087,58728654,22808780,33823,27818,10900
2018-06-28,155079565,84403,39407808,73612,40,18728,135550108,3996531,13886948,64424,1899,6677,159126981,86242,42239959,75521,41,20078,79639896,58570322,24646420,37871,27830,11802
2018-06-29,151656005,2262981,38512829,71601,1060,18180,145078400,4283506,15470478,67957,2006,7336,140406976,0,36960944,66309,0,17421,77049206,57392438,24769164,36112,26877,11692
2018-07-02,118137724,97934,39934841,55371,46,18727,137835282,4205697,14733833,64977,1982,7031,117454691,622091,37054867,55035,293,17392,69508333,57505484,21100911,32786,27100,10042
2018-07-03,189415512,237955,63101284,89141,112,29725,137648865,4301105,17279203,64829,2025,8224,196386978,590213,61172462,92418,278,28826,76216069,58009050,21655820,35912,27309,10304
